,,,,,,
,,,,,,
Base Aggregate Report,,,,,,
,,,,,,
,,,,,,
,Base Number,Base Name,,Pick Up Date,Number of Trips,Number of Vehicles
,B02389,"EMBARQUE N.Y., INC.",,05/11/2015, 60 , 18 
,B02397,CHICO EXPRESS CORP. 2,,05/11/2015, 149 , 9 
,B02410,"POLO LIMOUSINE, CORP.",,05/11/2015, 77 , 18 
,B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,05/11/2015, 23 , 3 
,B02435,"TEINETCO, INC",,05/11/2015, 7 , 4 
,B02440,MLL LIMOUSINE SERVICES INC.,,05/11/2015, 73 , 25 
,B02447,"NEW HAMPTON CAR & LIMO, INC.",,05/11/2015, 4 , 4 
,B02468,GROUNDLINK HOLDINGS LLC,,05/11/2015, 118 , 34 
,B02469,FUTURE LIMO VIP CORP,,05/11/2015, 1 , 1 
,B02470,CRI LIMO INC.,,05/11/2015, 28 , 10 
,B02471,TSU GLOBAL SERVICES INC,,05/11/2015, 13 , 9 
,B02475,ECKFORD LITE CAR & LIMO INC.,,05/11/2015, 13 , 8 
,B02491,CALL THREES LLC,,05/11/2015, 15 , 3 
,B02511,DEKALB CAR SERVICE CORP.,,05/11/2015, 31 , 14 
,B02517,LOS PAISANOS LUXURY C/S INC.,,05/11/2015, 15 , 12 
,B02524,ESQ LIMOUSINE LLC,,05/11/2015, 21 , 9 
,B02532,COZY RIDE LIMOUSINE INC,,05/11/2015, 56 , -   
,B02541,HIBA CAR & LIMO SVC INC.,,05/11/2015, 4 , 2 
,B02542,BAILEY LUXURY & LIMOUSINE CORP.,,05/11/2015, 2 , 1 
,B02543,GTA CAR & LIMO SERVICE LLC,,05/11/2015, 48 , 9 
,B02547,NICK CAR & LIMO SERVICE INC.,,05/11/2015, 11 , 7 
,B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,05/11/2015, 4 , 4 
,B02573,SUNSET PARK CAR SERVICE INC,,05/11/2015, 303 , 34 
,B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,05/11/2015, 106 , 49 
,B02590,LUXOR LIMO INC,,05/11/2015, 75 , -   
,B02599,CMS LIMO INC.,,05/11/2015, 9 , 4 
,B02629,CARLUX LIMO INC.,,05/11/2015, 22 , 8 
,B02637,ROOSEVELT CAR & LIMO INC.,,05/11/2015, 7 , 7 
,B02653,NEW COLLEGE CAR SVCE INC,,05/11/2015," 1,192 ", 118 
,B02658,ASCONA CAR SERVICE INC.,,05/11/2015, 9 , 1 
,B02661,MIC-LOU CAR SERVICES_LLC,,05/11/2015, 142 , -   
,B02664,CORPORATE CAR LTD.,,05/11/2015, 5 , 5 
,B02666,"D.L.C. LIMOUSINE SERVICE, INC.",,05/11/2015, 8 , 7 
,B02667,LEON LUXURY LIMO INC,,05/11/2015, 6 , 4 
,B02673,CONCORDE LIMOUSINE INC,,05/11/2015, 4 , 3 
,B02675,FRIELECH CAR & LIMO SERVICE INC,,05/11/2015, 20 , 8 
,B02681,DIRECT CAR & LIMO SERVICE INC.,,05/11/2015, 6 , 3 
,B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,05/11/2015, 3 , 3 
,B02689,OCS LIMO CORP.,,05/11/2015, 9 , 2 
,B02695,SEE USA TOURS INC.,,05/11/2015, 17 , 3 
,B02705                  ,GROUND JET EXECUTIVE TRANSPORTATION LLC,,05/11/2015, 2 , 1 
,B02710,PARADA CAR SERVICE,,05/11/2015, 6 , 6 
,B02712,AVE O CAR SERVICE INC,,05/11/2015, 6 , 6 
,B02715,GROUNDANYWHERE LLC,,05/11/2015, 118 , 34 
,B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",,05/11/2015, 89 , 1 
,B02718,CHURCHILL EXECUTIVE CARS INC,,05/11/2015, 1 , 1 
,B02723,CHARLIE BLACK CAR INC,,05/11/2015, 30 , -   
,B02725,KIRIN TRANSPORTATION INC,,05/11/2015, 136 , 1 
,B02726,COMPADRE CAR SERVICE INC.,,05/11/2015, 180 , 9 
,B02731,EMES OF BOROPARK CAR SERVICE INC,,05/11/2015, 35 , 3 
,B02751,RELIANCE GROUP INC,,05/11/2015, 1 , 1 
,B02753,DADDY LIMO INC,,05/11/2015, 28 , 10 
,B02754,TIGER CAR SERVICE INC.,,05/11/2015, 2 , 1 
,B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,05/11/2015, 45 , 5 
,B02808,INVASORA EXPRESS CAR SERVICE CORP.,,05/11/2015, 18 , 4 
,B00008,T-D MAINTENANCE CORP,,05/12/2015, 152 , 14 
,B00009,T-D MAINTENANCE,,05/12/2015, 125 , 15 
,B00013,LOVE CORP CAR INC,,05/12/2015, 434 , 111 
,B00014,NY ONE CORP CAR INC,,05/12/2015, 591 , 169 
,B00021,MEXICANA HIGH CLASS INC.,,05/12/2015, 694 , 64 
,B00029,COMMUNITY CAR SVC CORP,,05/12/2015, 515 , 48 
,B00030,TREMONT DISPATCHING CORP,,05/12/2015, 105 , 12 
,B00035,LOTUS RIDE INC,,05/12/2015, 69 , 27 
,B00078,R & R ROAD LIMO SVCE INC,,05/12/2015, 91 , 36 
,B00083,PAGE-A-RIDE INC,,05/12/2015, 26 , 13 
,B00084,AUTOMOTIVE SVC SYSTEM INC,,05/12/2015, 22 , 8 
,B00160,JAFFA CAR & LIMO SVC INC,,05/12/2015, 289 , 22 
,B00170,EMUNAH CAR SERVICE INC,,05/12/2015, 56 , 8 
,B00202,"EXCELSIOR CAR & LIMO, INC.",,05/12/2015, 81 , 19 
,B00221,PROFESSIONAL CAR SERVICE INC,,05/12/2015, 496 , 75 
,B00235,"ARISTACAR & LIMOUSINE, LTD.",,05/12/2015, 39 , 16 
,B00236,LAST RADIO GROUP CORP.,,05/12/2015, 43 , 13 
,B00248,YELLOWSTONE TRANSPORTATION INC.,,05/12/2015," 1,110 ", 127 
,B00254,XYZ TWO WAY RADIO,,05/12/2015," 1,319 ", 289 
,B00256,FAST OPERATING CORP,,05/12/2015," 2,651 ", 626 
,B00272,BIG APPLE CAR INC,,05/12/2015, 423 , 145 
,B00277,ALL CITY CORP TRANS INC,,05/12/2015, 143 , 44 
,B00281,"VEE CEE LIMOUSINE SERVICE, INC",,05/12/2015, 121 , 9 
,B00296,PRIME TIME TRANS. INC,,05/12/2015, 92 , 38 
,B00310,WATSON CAR SERVICE INC.,,05/12/2015," 1,440 ", 139 
,B00319,AVENTINE AUTO RENTAL INC,,05/12/2015, 120 , 12 
,B00334,DO MAX CORP.,,05/12/2015, 167 , 40 
,B00373,PARTICULAR PEOPLE CAR SERVICE INC.,,05/12/2015, 365 , 20 
,B00381,BELL RADIO INC,,05/12/2015, 427 , 118 
,B00411,FONE-A-CAR INC,,05/12/2015, 226 , 64 
,B00412,NYC 2 WAY INTERNATIONAL LTD,,05/12/2015, 428 , 96 
,B00448,DIAL CAR INC.,,05/12/2015, 8 , 3 
,B00477,INTA-BORO ACRES INC,,05/12/2015," 1,204 ", 159 
,B00492,BLUE WHITE ASSOC. TRANS.SVC.INC.,,05/12/2015, 288 , 21 
,B00552,HINO-MARU ENTERPRISES INC.,,05/12/2015, 61 , 35 
,B00608,SUMMIT CORP CAR INC,,05/12/2015, 187 , 44 
,B00619,LINCOLN LIMO SVCE INC,,05/12/2015, 26 , 5 
,B00623,MANHATTAN INT'L LIMO NETWORK LLC,,05/12/2015, 15 , 7 
,B00652,RESCUE C/S INC,,05/12/2015, 96 , 14 
,B00706,"VIC & BAY CAR SERVICE, INC",,05/12/2015, 764 , 20 
,B00789,VITAL TRANSPORTATION INC.,,05/12/2015, 909 , 234 
,b00833,OMEGA CAR SERVICE INC.,,05/12/2015, 34 , -   
,B00837,CAREY LIMO N Y INC,,05/12/2015, 644 , 194 
,b00881,CROSSBAY CAR SERVICE INC.,,05/12/2015, 11 , 9 
,B00888,ACE C/L SVCE INC,,05/12/2015, 171 , 46 
,B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,05/12/2015, 61 , 13 
,b00941,PERSONAL TOUCH C/S,,05/12/2015, 58 , -   
,B00975,"T.J.Q. CAR SERVICE, INC.",,05/12/2015, 439 , 43 
,b00983,"1431 CAR SERVICE, INC.",,05/12/2015, 83 , 9 
,b01013,AMERICANA TRANSPORTATION LLC,,05/12/2015, 10 , 4 
,B01016,810 CAR SVCE CORP,,05/12/2015, 836 , 72 
,B01020,MICHAELS CAR SERVICE INC.,,05/12/2015, 62 , 13 
,b01039,NYC WHEELS CAR SERVICE INC.,,05/12/2015, 10 , 10 
,b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,,05/12/2015, 66 , 9 
,B01066,DOMINICANA RAD DISP INC,,05/12/2015, 642 , 81 
,B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,05/12/2015, 114 , 10 
,B01079,THE METRO MARINE CAR SERVICE INC,,05/12/2015, 139 , -   
,B01109,UNITED EXP C/L SVCE,,05/12/2015, 649 , 78 
,B01129,GTWY INC,,05/12/2015, 233 , 23 
,B01148,EVELYN CAR SERVICE INC,,05/12/2015, 324 , 52 
,B01177,SLMK INC.,,05/12/2015, 129 , 13 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,05/12/2015, 335 , 89 
,B01231,GO CAR CORP.,,05/12/2015, 252 , 33 
,B01269,DIVISION CAR & LIMO INC.,,05/12/2015, 46 , 6 
,B01280,BENSONHURST RIDE INC.,,05/12/2015, 277 , 27 
,B01306,"R N D TRANSPORTATION, INC.",,05/12/2015, 37 , 11 
,B01313,JOY CAR SERVICES INC.,,05/12/2015, 10 , 10 
,B01332,SKYWAY CAR SERVICE EXPRESS INC.,,05/12/2015, 47 , 7 
,B01336,BAY EXPRESS CORP.,,05/12/2015, 187 , 21 
,B01351,HADERECH CAR SERVICE INC,,05/12/2015, 56 , 6 
,B01367,"ROYAL DISPATCH SERVICES, INC.",,05/12/2015, 281 , 82 
,B01379,J.J.S. TRANSPORTATION CO. INC.,,05/12/2015, 50 , 4 
,B01391,ROSE 'N' DALE C/S INC,,05/12/2015, 139 , 13 
,B01398,ALEX EXP C/L INC,,05/12/2015, 1 , -   
,B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,05/12/2015, 267 , -   
,B01424,EAGLE CAR & LIMO LTD.,,05/12/2015, 43 , 6 
,B01445,J T TRANS CO INC,,05/12/2015, 161 , 50 
,B01452,AREAS TRANSP INC,,05/12/2015, 147 , 11 
,B01453,ST GEORGE EXPRESS CAR SERVICE INC.,,05/12/2015, 270 , 15 
,B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",,05/12/2015, 73 , 11 
,B01509,"BRUNWISH ENTERPRISES,LTD.",,05/12/2015, 755 , 67 
,B01514,LOS ANDES LIMO INC.,,05/12/2015, 53 , 12 
,B01522,"STM ENTERPRISES,INC",,05/12/2015, 82 , 15 
,B01537,S.I. SPEED INC.,,05/12/2015, 149 , 15 
,B01546,BELLE ROCK OF BEACH CHANNEL INC.,,05/12/2015, 86 , 8 
,B01559,MUNKACS CAR SVC LTD,,05/12/2015, 336 , 22 
,B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,,05/12/2015, 231 , 32 
,B01606,LA MEXICANA EXPRESS INC.,,05/12/2015," 1,729 ", 113 
,B01608,JERUSALEM CAR COM.INC.,,05/12/2015, 25 , 8 
,B01623,JAMAICA EXPRESS CAR SERVICE INC.,,05/12/2015, 43 , 11 
,B01625,GLOBE CAR SERVICE INC,,05/12/2015, 111 , 9 
,B01626,LA NUEVA QUISQUEYA C/S INC,,05/12/2015," 1,141 ", 122 
,B01635,HAR-SINAY CAR & LIMO SVC INC,,05/12/2015, 40 , 8 
,B01642,VICTORY CAR & LIMO SERVICE INC.,,05/12/2015, 284 , -   
,B01653,ART'S PLACE INC.,,05/12/2015, 120 , 12 
,B01675,"TOWNCAR TRANSPORTATION, INC.",,05/12/2015, 134 , 14 
,B01678,G WAY TRANSPORT INC.,,05/12/2015, 43 , 5 
,B01679,CENTURY CAR SERVICE INC.,,05/12/2015, 61 , 5 
,B01726,SUPER CLASS RADIO DISP INC,,05/12/2015, 889 , 139 
,B01727,"CHAUFFEUR SERVICES, INC.",,05/12/2015, 7 , 6 
,B01730,LUCKY EXPRESS CORPORATION,,05/12/2015, 495 , 94 
,B01733,SHMT INC.,,05/12/2015, 54 , 8 
,B01738,NEW COMMANDO CAR SERVICE CORP.,,05/12/2015, 194 , 25 
,B01741,MONACO LIMO & CAR SERVICES INC.,,05/12/2015, 74 , 15 
,B01742,"AVALON TRANSPORTATION, LLC",,05/12/2015, 22 , 14 
,B01779,APEX CAR & LIMO SVCE INC,,05/12/2015, 58 , 23 
,B01808,OLD TOWN CARS CORP,,05/12/2015, 66 , 10 
,B01849,JOE PAL LIMOUSINE LTD,,05/12/2015, 6 , 4 
,B01854,EUROPE LIMOUSINE SERVICE INC,,05/12/2015, 108 , 29 
,B01868,LIMO 4 LLC,,05/12/2015, 2 , 2 
,B01875,ON LINE LIMOUSINE LLC,,05/12/2015, 432 , 56 
,B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,05/12/2015, 4 , 4 
,B01877,U.S.A. LIMO. INC.,,05/12/2015, 288 , 119 
,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,05/12/2015, 984 , 96 
,B01912,"CAR 24 TRANSPORTATION, INC",,05/12/2015, 42 , -   
,B01913,MIRAGE LIMOUSINE SERVICE INC,,05/12/2015, 63 , 17 
,B01928,DISCOVER LIMO INC,,05/12/2015, 4 , 3 
,B01957,"ANIMO, INC",,05/12/2015, 10 , 2 
,B01973,RAJA CAR & LIMOUSINE SERVICE INC.,,05/12/2015, 82 , 14 
,B01979,DREAMLAND CAR & LIMO.SVC INC.,,05/12/2015, 1 , 1 
,B01984,NY 88 EXPRESS CORP.,,05/12/2015, 744 , 104 
,B01990,SUK INCORPORATED,,05/12/2015, 137 , 45 
,B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,,05/12/2015, 132 , 13 
,B02003,"AVALON CORPORATE CAR,INC.",,05/12/2015, 277 , 90 
,B02016,PLANET LIMOUSINE LLC,,05/12/2015, 184 , 57 
,B02021,EASYRIDE CAR SERVICE INC.,,05/12/2015, 38 , 5 
,B02022,GOLD SEAL CAR & LIMO INC.,,05/12/2015, 102 , 29 
,B02026,A RIDE FOR ALL LLC,,05/12/2015, 3 , 1 
,B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,,05/12/2015, 32 , 11 
,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,05/12/2015, 197 , 105 
,B02096,"CET GROUP, INC",,05/12/2015, 16 , 13 
,B02106,"PERFECT LIMO SERVICE, INC.",,05/12/2015, 9 , -   
,B02110,"OPTIMUM CAR & LIMO, INC.",,05/12/2015, 100 , 8 
,B02120,HARRISON GLOBAL LLC,,05/12/2015, 384 , 120 
,B02127,"CONTINENTAL RIDE, INC.",,05/12/2015, 4 , 3 
,B02133,"TWR CAR & LIMO, INC.",,05/12/2015, 120 , 37 
,B02142,ASCENT LIMOUSINE INC.,,05/12/2015, 2 , 2 
,B02144,"SILVER STAR LIMOUSINES, INC.",,05/12/2015, 15 , 9 
,B02147,"MITA LIMOUSINE, INC.",,05/12/2015, 21 , 13 
,B02155,ABA LUXURY CAR INC.,,05/12/2015, 16 , 13 
,B02157,REAGAN CONVEYANCE  CORP.,,05/12/2015, 161 , 92 
,B02167,MADISON LIMOUSINE INC,,05/12/2015, 12 , 2 
,B02182,"FINEST CAR SERVICE, LLC",,05/12/2015, 5 , 2 
,B02183,BANGLA CAR & LIMO. SERVICE INC.,,05/12/2015, 20 , 20 
,B02191,US LIMO SYSTEM INC,,05/12/2015, 36 , 19 
,B02217,PCS LIMOUSINE INC.,,05/12/2015, 24 , 11 
,B02240,NEW APPLE TRANS. INC.,,05/12/2015, 22 , 11 
,B02248,HYBRID LIMO EXPRESS INC.,,05/12/2015, 10 , 1 
,B02249,"LA RAZA CAR SERVICE, INC.",,05/12/2015, 249 , 43 
,B02252,ASIANA LIMOUSINE INC.,,05/12/2015, 10 , 5 
,B02265,"COUNTY CAR SERVICE, INC.",,05/12/2015, 64 , 5 
,b02301,DOUBLE A CAR SERVICE INC.,,05/12/2015, 434 , 25 
,B02306,ACCUELIMO LUXURY LLC,,05/12/2015, 92 , 18 
,B02308,NORWOOD CAR & LIMO INC.,,05/12/2015, 42 , 16 
,B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,05/12/2015, 16 , -   
,B02378,WELLCARE CAR SERVICE INC.,,05/12/2015, 1 , 1 
,B02389,"EMBARQUE N.Y., INC.",,05/12/2015, 61 , 16 
,B02397,CHICO EXPRESS CORP. 2,,05/12/2015, 112 , 8 
,B02410,"POLO LIMOUSINE, CORP.",,05/12/2015, 95 , 28 
,B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,05/12/2015, 21 , 3 
,B02435,"TEINETCO, INC",,05/12/2015, 16 , 6 
,B02440,MLL LIMOUSINE SERVICES INC.,,05/12/2015, 88 , 26 
,B02447,"NEW HAMPTON CAR & LIMO, INC.",,05/12/2015, 4 , 4 
,B02468,GROUNDLINK HOLDINGS LLC,,05/12/2015, 131 , 34 
,B02470,CRI LIMO INC.,,05/12/2015, 27 , 10 
,B02471,TSU GLOBAL SERVICES INC,,05/12/2015, 18 , 8 
,B02475,ECKFORD LITE CAR & LIMO INC.,,05/12/2015, 18 , 8 
,B02491,CALL THREES LLC,,05/12/2015, 24 , 4 
,B02511,DEKALB CAR SERVICE CORP.,,05/12/2015, 31 , 12 
,B02517,LOS PAISANOS LUXURY C/S INC.,,05/12/2015, 15 , 11 
,B02524,ESQ LIMOUSINE LLC,,05/12/2015, 28 , 8 
,B02532,COZY RIDE LIMOUSINE INC,,05/12/2015, 81 , -   
,B02541,HIBA CAR & LIMO SVC INC.,,05/12/2015, 5 , 4 
,B02542,BAILEY LUXURY & LIMOUSINE CORP.,,05/12/2015, 2 , 1 
,B02543,GTA CAR & LIMO SERVICE LLC,,05/12/2015, 44 , 9 
,B02547,NICK CAR & LIMO SERVICE INC.,,05/12/2015, 6 , 4 
,B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,05/12/2015, 1 , 1 
,B02564,LAGUARDIA LUXURY CAR & LIMO,,05/12/2015, 4 , 2 
,B02573,SUNSET PARK CAR SERVICE INC,,05/12/2015, 306 , 38 
,B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,05/12/2015, 81 , 45 
,B02590,LUXOR LIMO INC,,05/12/2015, 61 , -   
,B02599,CMS LIMO INC.,,05/12/2015, 17 , 4 
,B02629,CARLUX LIMO INC.,,05/12/2015, 10 , 5 
,B02637,ROOSEVELT CAR & LIMO INC.,,05/12/2015, 7 , 7 
,B02653,NEW COLLEGE CAR SVCE INC,,05/12/2015, 972 , 106 
,B02658,ASCONA CAR SERVICE INC.,,05/12/2015, 2 , 1 
,B02661,MIC-LOU CAR SERVICES_LLC,,05/12/2015, 110 , -   
,B02664,CORPORATE CAR LTD.,,05/12/2015, 6 , 6 
,B02666,"D.L.C. LIMOUSINE SERVICE, INC.",,05/12/2015, 8 , 7 
,B02667,LEON LUXURY LIMO INC,,05/12/2015, 3 , 2 
,B02673,CONCORDE LIMOUSINE INC,,05/12/2015, 4 , 4 
,B02675,FRIELECH CAR & LIMO SERVICE INC,,05/12/2015, 39 , 6 
,B02681,DIRECT CAR & LIMO SERVICE INC.,,05/12/2015, 7 , 4 
,B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,05/12/2015, 4 , 4 
,B02689,OCS LIMO CORP.,,05/12/2015, 5 , 4 
,B02695,SEE USA TOURS INC.,,05/12/2015, 11 , 3 
,B02705                  ,GROUND JET EXECUTIVE TRANSPORTATION LLC,,05/12/2015, 2 , 2 
,B02710,PARADA CAR SERVICE,,05/12/2015, 7 , 6 
,B02712,AVE O CAR SERVICE INC,,05/12/2015, 6 , 6 
,B02715,GROUNDANYWHERE LLC,,05/12/2015, 131 , 34 
,B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",,05/12/2015, 101 , 1 
,B02718,CHURCHILL EXECUTIVE CARS INC,,05/12/2015, 1 , 1 
,B02723,CHARLIE BLACK CAR INC,,05/12/2015, 24 , -   
,B02725,KIRIN TRANSPORTATION INC,,05/12/2015, 140 , 1 
,B02726,COMPADRE CAR SERVICE INC.,,05/12/2015, 124 , 9 
,B02731,EMES OF BOROPARK CAR SERVICE INC,,05/12/2015, 41 , 3 
,B02751,RELIANCE GROUP INC,,05/12/2015, 4 , 1 
,B02753,DADDY LIMO INC,,05/12/2015, 25 , 11 
,B02754,TIGER CAR SERVICE INC.,,05/12/2015, 13 , 2 
,B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,05/12/2015, 47 , 5 
,B02808,INVASORA EXPRESS CAR SERVICE CORP.,,05/12/2015, 10 , 3 
,B00008,T-D MAINTENANCE CORP,,05/13/2015, 149 , 16 
,B00009,T-D MAINTENANCE,,05/13/2015, 125 , 16 
,B00013,LOVE CORP CAR INC,,05/13/2015, 442 , 112 
,B00014,NY ONE CORP CAR INC,,05/13/2015, 571 , 167 
,B00021,MEXICANA HIGH CLASS INC.,,05/13/2015, 624 , 65 
,B00029,COMMUNITY CAR SVC CORP,,05/13/2015, 542 , 47 
,B00030,TREMONT DISPATCHING CORP,,05/13/2015, 143 , 15 
,B00035,LOTUS RIDE INC,,05/13/2015, 65 , 33 
,B00078,R & R ROAD LIMO SVCE INC,,05/13/2015, 95 , 42 
,B00083,PAGE-A-RIDE INC,,05/13/2015, 23 , 12 
,B00084,AUTOMOTIVE SVC SYSTEM INC,,05/13/2015, 28 , 14 
,B00160,JAFFA CAR & LIMO SVC INC,,05/13/2015, 297 , 22 
,B00170,EMUNAH CAR SERVICE INC,,05/13/2015, 53 , 8 
,B00202,"EXCELSIOR CAR & LIMO, INC.",,05/13/2015, 83 , 17 
,B00221,PROFESSIONAL CAR SERVICE INC,,05/13/2015, 501 , 79 
,B00235,"ARISTACAR & LIMOUSINE, LTD.",,05/13/2015, 55 , 18 
,B00236,LAST RADIO GROUP CORP.,,05/13/2015, 47 , 16 
,B00248,YELLOWSTONE TRANSPORTATION INC.,,05/13/2015," 1,128 ", 122 
,B00254,XYZ TWO WAY RADIO,,05/13/2015," 1,276 ", 270 
,B00256,FAST OPERATING CORP,,05/13/2015," 2,867 ", 625 
,B00272,BIG APPLE CAR INC,,05/13/2015, 467 , 155 
,B00277,ALL CITY CORP TRANS INC,,05/13/2015, 193 , 42 
,B00281,"VEE CEE LIMOUSINE SERVICE, INC",,05/13/2015, 350 , 10 
,B00296,PRIME TIME TRANS. INC,,05/13/2015, 90 , 39 
,B00310,WATSON CAR SERVICE INC.,,05/13/2015," 1,598 ", 142 
,B00319,AVENTINE AUTO RENTAL INC,,05/13/2015, 95 , 12 
,B00334,DO MAX CORP.,,05/13/2015, 197 , 43 
,B00373,PARTICULAR PEOPLE CAR SERVICE INC.,,05/13/2015, 351 , 36 
,B00381,BELL RADIO INC,,05/13/2015, 481 , 129 
,B00411,FONE-A-CAR INC,,05/13/2015, 243 , 63 
,B00412,NYC 2 WAY INTERNATIONAL LTD,,05/13/2015, 446 , 93 
,B00448,DIAL CAR INC.,,05/13/2015, 4 , 2 
,B00477,INTA-BORO ACRES INC,,05/13/2015," 1,284 ", 167 
,B00492,BLUE WHITE ASSOC. TRANS.SVC.INC.,,05/13/2015, 309 , 20 
,B00552,HINO-MARU ENTERPRISES INC.,,05/13/2015, 74 , 35 
,B00608,SUMMIT CORP CAR INC,,05/13/2015, 180 , 43 
,B00619,LINCOLN LIMO SVCE INC,,05/13/2015, 20 , 5 
,B00623,MANHATTAN INT'L LIMO NETWORK LLC,,05/13/2015, 20 , 7 
,B00652,RESCUE C/S INC,,05/13/2015, 109 , 17 
,B00706,"VIC & BAY CAR SERVICE, INC",,05/13/2015, 756 , 20 
,B00789,VITAL TRANSPORTATION INC.,,05/13/2015, 938 , 229 
,b00833,OMEGA CAR SERVICE INC.,,05/13/2015, 69 , -   
,B00837,CAREY LIMO N Y INC,,05/13/2015, 618 , 194 
,b00881,CROSSBAY CAR SERVICE INC.,,05/13/2015, 29 , 18 
,B00888,ACE C/L SVCE INC,,05/13/2015, 177 , 45 
,B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,05/13/2015, 69 , 13 
,b00941,PERSONAL TOUCH C/S,,05/13/2015, 63 , -   
,B00975,"T.J.Q. CAR SERVICE, INC.",,05/13/2015, 402 , 45 
,b00983,"1431 CAR SERVICE, INC.",,05/13/2015, 83 , 10 
,b01013,AMERICANA TRANSPORTATION LLC,,05/13/2015, 17 , 6 
,B01016,810 CAR SVCE CORP,,05/13/2015, 856 , 76 
,B01020,MICHAELS CAR SERVICE INC.,,05/13/2015, 60 , 14 
,b01039,NYC WHEELS CAR SERVICE INC.,,05/13/2015, 10 , 10 
,b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,,05/13/2015, 85 , 9 
,B01066,DOMINICANA RAD DISP INC,,05/13/2015, 669 , 83 
,B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,05/13/2015, 92 , 12 
,B01079,THE METRO MARINE CAR SERVICE INC,,05/13/2015, 134 , -   
,B01109,UNITED EXP C/L SVCE,,05/13/2015, 652 , 81 
,B01129,GTWY INC,,05/13/2015, 255 , 22 
,B01148,EVELYN CAR SERVICE INC,,05/13/2015, 332 , 54 
,B01177,SLMK INC.,,05/13/2015, 135 , 11 
,B01197,"TEL-A-CAR OF NEW YORK, LLC",,05/13/2015, 370 , 90 
,B01231,GO CAR CORP.,,05/13/2015, 276 , 34 
,B01269,DIVISION CAR & LIMO INC.,,05/13/2015, 47 , 6 
,B01280,BENSONHURST RIDE INC.,,05/13/2015, 276 , 24 
,B01306,"R N D TRANSPORTATION, INC.",,05/13/2015, 38 , 7 
,B01313,JOY CAR SERVICES INC.,,05/13/2015, 14 , 11 
,B01332,SKYWAY CAR SERVICE EXPRESS INC.,,05/13/2015, 57 , 10 
,B01336,BAY EXPRESS CORP.,,05/13/2015, 255 , 23 
,B01351,HADERECH CAR SERVICE INC,,05/13/2015, 80 , 6 
,B01367,"ROYAL DISPATCH SERVICES, INC.",,05/13/2015, 261 , 73 
,B01379,J.J.S. TRANSPORTATION CO. INC.,,05/13/2015, 71 , 5 
,B01391,ROSE 'N' DALE C/S INC,,05/13/2015, 151 , 14 
,B01398,ALEX EXP C/L INC,,05/13/2015, 1 , -   
,B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,05/13/2015, 216 , -   
,B01424,EAGLE CAR & LIMO LTD.,,05/13/2015, 45 , 5 
,B01445,J T TRANS CO INC,,05/13/2015, 182 , 56 
,B01452,AREAS TRANSP INC,,05/13/2015, 199 , 15 
,B01453,ST GEORGE EXPRESS CAR SERVICE INC.,,05/13/2015, 235 , 11 
,B01475,"MIDWOOD VS, INC",,05/13/2015, 1 , -   
,B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",,05/13/2015, 79 , 12 
,B01509,"BRUNWISH ENTERPRISES,LTD.",,05/13/2015, 729 , 70 
,B01514,LOS ANDES LIMO INC.,,05/13/2015, 43 , 9 
,B01522,"STM ENTERPRISES,INC",,05/13/2015, 93 , 15 
,B01537,S.I. SPEED INC.,,05/13/2015, 140 , 13 
,B01546,BELLE ROCK OF BEACH CHANNEL INC.,,05/13/2015, 84 , 9 
,B01559,MUNKACS CAR SVC LTD,,05/13/2015, 314 , 21 
,B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,,05/13/2015, 239 , 33 
,B01606,LA MEXICANA EXPRESS INC.,,05/13/2015," 1,642 ", 119 
